parity,EO bias
0.28878335594753507,0.27094543136559346
0.35982021709633655,0.3513392328406297
0.3861092265943012,0.3827394373174254
0.4322987336047038,0.4247007029402047
0.48346336499321574,0.4721490514078346
0.6220318860244234,0.5893757410400569
0.5474332881049299,0.5256259843028737
0.5104590682948892,0.5057005172145033
0.5793758480325644,0.5763271369646902
0.518289235639982,0.5041700853016038
0.6149084124830393,0.6071012986996263
0.6603912256897332,0.6375569697679377
0.6781716417910447,0.6485634663898521
0.6085199004975125,0.5956906697538693
0.5843792401628223,0.5644057845496742
0.6525610583446404,0.6509787853759227
0.5481117141564902,0.5463764197202277
0.7563037087290818,0.7446976755803278
0.5552351876978743,0.542775356800556
0.9133310719131615,0.8941291306680049
0.5907960199004975,0.5472145995043248
0.5388964269561284,0.5273137954642282
0.6724615558570782,0.6645274657337387
0.5495533695160562,0.5380923295507668
0.7832994120307553,0.7730511230462489
0.6397840343735866,0.6360452653958851
0.622738579828132,0.613582306897752
0.717944369063772,0.7024562946729318
0.6845318860244234,0.6853713216083069
0.6809984170058797,0.6650439768896883
0.7840061058344641,0.7818620664008167
0.688800316598824,0.6853506855191315
0.6681931252826775,0.6614269137614829
0.6489993215739484,0.6524436716974242
0.7221845318860244,0.7234420879317043
0.5637437810945274,0.5635642137440975
0.7087008141112618,0.6998473745228156
0.5246777476255089,0.516295419099857
0.6355156037991859,0.6313843384903151
0.7932496607869742,0.7849318158302719
0.6774084124830393,0.6883912486783454
0.7087008141112618,0.7031364629962725
0.6710199004975125,0.6787091080431402
0.5516734509271822,0.5477420133871275
0.6447591587516961,0.6326792305586662
0.6063998190863862,0.5924334163694753
0.7200644504748983,0.716965690705202
0.6085199004975125,0.6042324735607061
0.8820669380370874,0.8672549512666974
0.9623473541383989,0.9570079613440665
0.5751074174581637,0.5786488848500124
0.9950248756218906,0.996640484527302
