parity,EO bias
0.1584298410988419,0.17917054830167994
0.5195259897656881,0.5995320588777129
0.4650552114193375,0.5597982063466995
0.5324310979441602,0.6148064984495611
0.5430693958165006,0.6249501774603603
0.5749842894335219,0.643705425040271
0.6299488284406141,0.6749138132519351
0.6947885806625371,0.7195864484541775
0.6816141484872968,0.7166999764823956
0.7180851063829787,0.7670051799345693
0.7907801418439716,0.8238805970149253
0.9078014184397163,0.9164862788911389
0.7960992907801419,0.8481553398058252
0.9078014184397163,0.9164862788911389
0.9627659574468085,0.9670349832830466
0.9113475177304965,0.9198350893266147
0.9131205673758865,0.9220489977728284
0.9131205673758865,0.9220489977728284
0.925531914893617,0.9331430453397738
1.0,1.0
0.6496992548702756,0.7476593453879538
0.7216312056737588,0.8026058124527126
1.0,1.0
0.6798410988419068,0.7453976810920467
0.6347517730496454,0.728
0.6773049645390071,0.7293967714528462
0.9964539007092199,0.9970197778379842
0.6902325163838765,0.7537005273080342
0.8971631205673759,0.8962811208722524
0.8351063829787234,0.8688461538461539
0.8882978723404256,0.9037741426882144
0.9113475177304965,0.9198350893266147
0.7535460992907801,0.7505875811872931
0.7836879432624113,0.8363286589378828
0.6702127659574468,0.7509988878362236
0.7943262411347518,0.8438842590196179
0.9627659574468085,0.9680967428293632
0.4450803483257024,0.5050156915181739
0.5886524822695035,0.6566142460684551
0.75177304964539,0.7995524219746373
0.7198581560283688,0.7403314917127072
0.7631744321752401,0.8231451024895073
0.6259314121554896,0.6206049429175837
0.5851063829787234,0.6505144374377696
0.7241673399766586,0.7515711257418248
0.9024822695035462,0.9143976192105083
0.6362779423646647,0.7087124213269647
0.6459062752491247,0.7083572976031558
0.9326241134751773,0.9415037649764457
0.7206212406858784,0.7651744076801942
0.8209219858156028,0.8457172487247043
0.9397163120567376,0.950281214848144
0.9326241134751773,0.9379574372255377
0.8563829787234043,0.8740971015817866
0.8563829787234043,0.8740971015817866
1.0,1.0
0.900709219858156,0.9073422957600826
0.7216312056737588,0.7877661372085164
0.7553191489361702,0.8048727430933217
0.8546099290780141,0.8823529411764706
0.950354609929078,0.9574169396350023
0.9113475177304965,0.9198350893266147
0.7358156028368794,0.80264673362204
0.9113475177304965,0.9252797664558282
0.9929078014184397,0.994020259717078
0.75177304964539,0.8016139878950908
0.725177304964539,0.7758727535633134
0.7712765957446809,0.8204280494170872
0.9024822695035462,0.9108528468462255
0.7836879432624113,0.7766049116760018
0.6932624113475178,0.7317209977563679
0.49012478678516924,0.6081598676577387
0.6542553191489362,0.7399009146341463
0.875886524822695,0.8971271451597611
0.8411886165724032,0.8786123048261765
0.9539007092198581,0.9599241166706189
0.7801418439716312,0.744308808973936
0.6684397163120568,0.7099214891731037
0.8138297872340425,0.8335974643423137
0.7712765957446809,0.7733130271790065
0.9361702127659575,0.9430250960886276
0.9379432624113475,0.9483409311710636
