parity,EO bias
0.307794030334107,0.24698923559560992
0.31302963242834786,0.2563722323427978
0.3962325255033195,0.3467941425150304
0.43271981432503914,0.39215509747561983
0.5159227074000108,0.4715211209766341
0.6043612025692233,0.5685091462729875
0.5836616829492093,0.5455125851431031
0.6721001781184217,0.6388683269138762
0.6354509634587359,0.5934993826361628
0.8333513250931073,0.8133324054703983
0.8073352404598694,0.7811772702096816
0.7292060236411724,0.6975471991870595
0.6510768068224753,0.6083357464880048
0.7553030711933935,0.728302140588923
0.7446699411669456,0.7223641148524633
0.7863928320829061,0.7631910744814205
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
